Res_prop	P	Cell_range	Effect	Method	PANEL	COORD	group	AUROC
Prop_0.25	100	High	0.00025	DiD Baseline	1	1	-1	0.878847001763668
Prop_0.25	100	High	0.00025	MIMOSA2	1	1	-1	0.918554894179894
Prop_0.25	100	High	5e-04	DiD Baseline	1	1	-1	0.905417768959435
Prop_0.25	100	High	5e-04	MIMOSA2	1	1	-1	0.931689814814814
Prop_0.25	100	High	0.001	DiD Baseline	1	1	-1	0.91995701058201
Prop_0.25	100	High	0.001	MIMOSA2	1	1	-1	0.954859733245149
Prop_0.25	100	Medium	6.25e-05	DiD Baseline	1	1	-1	0.840372850529101
Prop_0.25	100	Medium	6.25e-05	MIMOSA2	1	1	-1	0.864028328924162
Prop_0.25	100	Medium	0.000125	DiD Baseline	1	1	-1	0.844321538800705
Prop_0.25	100	Medium	0.000125	MIMOSA2	1	1	-1	0.883400297619047
Prop_0.25	100	Medium	0.00025	DiD Baseline	1	1	-1	0.857963514109348
Prop_0.25	100	Medium	0.00025	MIMOSA2	1	1	-1	0.894756117724867
Prop_0.25	100	Medium	5e-04	DiD Baseline	1	1	-1	0.898023037918871
Prop_0.25	100	Medium	5e-04	MIMOSA2	1	1	-1	0.932331624779541
Prop_0.25	100	Medium	0.001	DiD Baseline	1	1	-1	0.904378031305114
Prop_0.25	100	Medium	0.001	MIMOSA2	1	1	-1	0.936712687389769
Prop_0.25	100	Low	6.25e-05	DiD Baseline	1	1	-1	0.750375055114638
Prop_0.25	100	Low	6.25e-05	MIMOSA2	1	1	-1	0.76894317680776
Prop_0.25	100	Low	0.000125	DiD Baseline	1	1	-1	0.744656911375661
Prop_0.25	100	Low	0.000125	MIMOSA2	1	1	-1	0.78145309744268
Prop_0.25	100	Low	0.00025	DiD Baseline	1	1	-1	0.758633708112875
Prop_0.25	100	Low	0.00025	MIMOSA2	1	1	-1	0.804348269400353
Prop_0.25	100	Low	5e-04	DiD Baseline	1	1	-1	0.81033096340388
Prop_0.25	100	Low	5e-04	MIMOSA2	1	1	-1	0.868211529982364
Prop_0.25	100	Low	0.001	DiD Baseline	1	1	-1	0.823614417989418
Prop_0.25	100	Low	0.001	MIMOSA2	1	1	-1	0.882041721781306
Prop_0.50	10	High	6.25e-05	DiD Baseline	1	1	-1	0.867939814814815
Prop_0.50	10	High	6.25e-05	MIMOSA2	1	1	-1	0.88587962962963
Prop_0.50	10	High	0.000125	DiD Baseline	1	1	-1	0.872361111111111
Prop_0.50	10	High	0.000125	MIMOSA2	1	1	-1	0.901481481481482
Prop_0.50	10	High	0.00025	DiD Baseline	1	1	-1	0.910601851851852
Prop_0.50	10	High	0.00025	MIMOSA2	1	1	-1	0.943495370370371
Prop_0.50	10	High	5e-04	DiD Baseline	1	1	-1	0.906782407407407
Prop_0.50	10	High	5e-04	MIMOSA2	1	1	-1	0.950972222222222
Prop_0.50	10	High	0.001	DiD Baseline	1	1	-1	0.912777777777778
Prop_0.50	10	High	0.001	MIMOSA2	1	1	-1	0.947384259259259
Prop_0.50	10	Medium	6.25e-05	DiD Baseline	1	1	-1	0.895138888888889
Prop_0.50	10	Medium	6.25e-05	MIMOSA2	1	1	-1	0.913217592592592
Prop_0.50	10	Medium	0.000125	DiD Baseline	1	1	-1	0.834837962962963
Prop_0.50	10	Medium	0.000125	MIMOSA2	1	1	-1	0.848078703703704
Prop_0.50	10	Medium	0.00025	DiD Baseline	1	1	-1	0.906828703703704
Prop_0.50	10	Medium	0.00025	MIMOSA2	1	1	-1	0.905763888888889
Prop_0.50	10	Medium	5e-04	DiD Baseline	1	1	-1	0.894282407407407
Prop_0.50	10	Medium	5e-04	MIMOSA2	1	1	-1	0.947037037037037
Prop_0.50	10	Medium	0.001	DiD Baseline	1	1	-1	0.913796296296296
Prop_0.50	10	Medium	0.001	MIMOSA2	1	1	-1	0.947222222222222
Prop_0.50	10	Low	6.25e-05	DiD Baseline	1	1	-1	0.753865740740741
Prop_0.50	10	Low	6.25e-05	MIMOSA2	1	1	-1	0.764560185185185
Prop_0.50	10	Low	0.000125	DiD Baseline	1	1	-1	0.810995370370371
Prop_0.50	10	Low	0.000125	MIMOSA2	1	1	-1	0.793263888888889
Prop_0.50	10	Low	0.00025	DiD Baseline	1	1	-1	0.766851851851852
Prop_0.50	10	Low	0.00025	MIMOSA2	1	1	-1	0.820787037037037
Prop_0.50	10	Low	5e-04	DiD Baseline	1	1	-1	0.82849537037037
Prop_0.50	10	Low	5e-04	MIMOSA2	1	1	-1	0.869837962962962
Prop_0.50	10	Low	0.001	DiD Baseline	1	1	-1	0.861597222222222
Prop_0.50	10	Low	0.001	MIMOSA2	1	1	-1	0.913148148148148
Prop_0.50	20	High	6.25e-05	DiD Baseline	1	1	-1	0.87181712962963
Prop_0.50	20	High	6.25e-05	MIMOSA2	1	1	-1	0.895069444444445
Prop_0.50	20	High	0.000125	DiD Baseline	1	1	-1	0.870277777777778
Prop_0.50	20	High	0.000125	MIMOSA2	1	1	-1	0.900416666666666
Prop_0.50	20	High	0.00025	DiD Baseline	1	1	-1	0.865787037037037
Prop_0.50	20	High	0.00025	MIMOSA2	1	1	-1	0.912158564814814
Prop_0.50	20	High	5e-04	DiD Baseline	1	1	-1	0.894045138888889
Prop_0.50	20	High	5e-04	MIMOSA2	1	1	-1	0.944004629629629
Prop_0.50	20	High	0.001	DiD Baseline	1	1	-1	0.909930555555555
Prop_0.50	20	High	0.001	MIMOSA2	1	1	-1	0.959490740740741
Prop_0.50	20	Medium	6.25e-05	DiD Baseline	1	1	-1	0.832314814814815
Prop_0.50	20	Medium	6.25e-05	MIMOSA2	1	1	-1	0.866030092592592
Prop_0.50	20	Medium	0.000125	DiD Baseline	1	1	-1	0.840659722222222
Prop_0.50	20	Medium	0.000125	MIMOSA2	1	1	-1	0.893038194444445
Prop_0.50	20	Medium	0.00025	DiD Baseline	1	1	-1	0.852609953703704
Prop_0.50	20	Medium	0.00025	MIMOSA2	1	1	-1	0.886886574074074
Prop_0.50	20	Medium	5e-04	DiD Baseline	1	1	-1	0.875017361111111
Prop_0.50	20	Medium	5e-04	MIMOSA2	1	1	-1	0.911533564814815
Prop_0.50	20	Medium	0.001	DiD Baseline	1	1	-1	0.884241898148148
Prop_0.50	20	Medium	0.001	MIMOSA2	1	1	-1	0.934641203703702
Prop_0.50	20	Low	6.25e-05	DiD Baseline	1	1	-1	0.738142361111111
Prop_0.50	20	Low	6.25e-05	MIMOSA2	1	1	-1	0.770405092592593
Prop_0.50	20	Low	0.000125	DiD Baseline	1	1	-1	0.748466435185185
Prop_0.50	20	Low	0.000125	MIMOSA2	1	1	-1	0.783449074074073
Prop_0.50	20	Low	0.00025	DiD Baseline	1	1	-1	0.767997685185185
Prop_0.50	20	Low	0.00025	MIMOSA2	1	1	-1	0.821163194444443
Prop_0.50	20	Low	5e-04	DiD Baseline	1	1	-1	0.783113425925926
Prop_0.50	20	Low	5e-04	MIMOSA2	1	1	-1	0.854953703703704
Prop_0.50	20	Low	0.001	DiD Baseline	1	1	-1	0.828859953703704
Prop_0.50	20	Low	0.001	MIMOSA2	1	1	-1	0.901006944444445
Prop_0.50	30	High	6.25e-05	DiD Baseline	1	1	-1	0.862147817460317
Prop_0.50	30	High	6.25e-05	MIMOSA2	1	1	-1	0.896532738095238
Prop_0.50	30	High	0.000125	DiD Baseline	1	1	-1	0.861770833333333
Prop_0.50	30	High	0.000125	MIMOSA2	1	1	-1	0.910376984126984
Prop_0.50	30	High	0.00025	DiD Baseline	1	1	-1	0.879714781746032
Prop_0.50	30	High	0.00025	MIMOSA2	1	1	-1	0.921041666666667
Prop_0.50	30	High	5e-04	DiD Baseline	1	1	-1	0.901205357142857
Prop_0.50	30	High	5e-04	MIMOSA2	1	1	-1	0.953124999999999
Prop_0.50	30	High	0.001	DiD Baseline	1	1	-1	0.911981646825397
Prop_0.50	30	High	0.001	MIMOSA2	1	1	-1	0.951793154761904
Prop_0.50	30	Medium	6.25e-05	DiD Baseline	1	1	-1	0.820729166666667
Prop_0.50	30	Medium	6.25e-05	MIMOSA2	1	1	-1	0.841436011904762
Prop_0.50	30	Medium	0.000125	DiD Baseline	1	1	-1	0.821803075396825
Prop_0.50	30	Medium	0.000125	MIMOSA2	1	1	-1	0.875257936507936
Prop_0.50	30	Medium	0.00025	DiD Baseline	1	1	-1	0.862589285714286
Prop_0.50	30	Medium	0.00025	MIMOSA2	1	1	-1	0.903675595238095
Prop_0.50	30	Medium	5e-04	DiD Baseline	1	1	-1	0.898923611111111
Prop_0.50	30	Medium	5e-04	MIMOSA2	1	1	-1	0.939853670634921
Prop_0.50	30	Medium	0.001	DiD Baseline	1	1	-1	0.903695436507936
Prop_0.50	30	Medium	0.001	MIMOSA2	1	1	-1	0.943551587301586
Prop_0.50	30	Low	6.25e-05	DiD Baseline	1	1	-1	0.768338293650794
Prop_0.50	30	Low	6.25e-05	MIMOSA2	1	1	-1	0.774126984126984
Prop_0.50	30	Low	0.000125	DiD Baseline	1	1	-1	0.789017857142857
Prop_0.50	30	Low	0.000125	MIMOSA2	1	1	-1	0.811049107142857
Prop_0.50	30	Low	0.00025	DiD Baseline	1	1	-1	0.788472222222222
Prop_0.50	30	Low	0.00025	MIMOSA2	1	1	-1	0.824652777777777
Prop_0.50	30	Low	5e-04	DiD Baseline	1	1	-1	0.803417658730159
Prop_0.50	30	Low	5e-04	MIMOSA2	1	1	-1	0.844312996031746
Prop_0.50	30	Low	0.001	DiD Baseline	1	1	-1	0.833799603174603
Prop_0.50	30	Low	0.001	MIMOSA2	1	1	-1	0.889513888888888
Prop_0.50	50	High	6.25e-05	DiD Baseline	1	1	-1	0.869144408831909
Prop_0.50	50	High	6.25e-05	MIMOSA2	1	1	-1	0.910319622507123
Prop_0.50	50	High	0.000125	DiD Baseline	1	1	-1	0.877146545584046
Prop_0.50	50	High	0.000125	MIMOSA2	1	1	-1	0.916315883190883
Prop_0.50	50	High	0.00025	DiD Baseline	1	1	-1	0.885398860398861
Prop_0.50	50	High	0.00025	MIMOSA2	1	1	-1	0.933478454415954
Prop_0.50	50	High	5e-04	DiD Baseline	1	1	-1	0.895619658119658
Prop_0.50	50	High	5e-04	MIMOSA2	1	1	-1	0.940625000000001
Prop_0.50	50	High	0.001	DiD Baseline	1	1	-1	0.90485665954416
Prop_0.50	50	High	0.001	MIMOSA2	1	1	-1	0.945295584045585
Prop_0.50	50	Medium	6.25e-05	DiD Baseline	1	1	-1	0.845828881766382
Prop_0.50	50	Medium	6.25e-05	MIMOSA2	1	1	-1	0.871608796296296
Prop_0.50	50	Medium	0.000125	DiD Baseline	1	1	-1	0.843342236467236
Prop_0.50	50	Medium	0.000125	MIMOSA2	1	1	-1	0.888060007122507
Prop_0.50	50	Medium	0.00025	DiD Baseline	1	1	-1	0.869016203703704
Prop_0.50	50	Medium	0.00025	MIMOSA2	1	1	-1	0.915599180911681
Prop_0.50	50	Medium	5e-04	DiD Baseline	1	1	-1	0.873473112535612
Prop_0.50	50	Medium	5e-04	MIMOSA2	1	1	-1	0.920680199430199
Prop_0.50	50	Medium	0.001	DiD Baseline	1	1	-1	0.899550391737891
Prop_0.50	50	Medium	0.001	MIMOSA2	1	1	-1	0.946901709401707
Prop_0.50	50	Low	6.25e-05	DiD Baseline	1	1	-1	0.753329772079772
Prop_0.50	50	Low	6.25e-05	MIMOSA2	1	1	-1	0.783710826210826
Prop_0.50	50	Low	0.000125	DiD Baseline	1	1	-1	0.774532585470085
Prop_0.50	50	Low	0.000125	MIMOSA2	1	1	-1	0.804097222222221
Prop_0.50	50	Low	0.00025	DiD Baseline	1	1	-1	0.794588675213675
Prop_0.50	50	Low	0.00025	MIMOSA2	1	1	-1	0.822854344729346
Prop_0.50	50	Low	5e-04	DiD Baseline	1	1	-1	0.79599448005698
Prop_0.50	50	Low	5e-04	MIMOSA2	1	1	-1	0.861167200854701
Prop_0.50	50	Low	0.001	DiD Baseline	1	1	-1	0.849764957264957
Prop_0.50	50	Low	0.001	MIMOSA2	1	1	-1	0.892112713675214
Prop_0.50	75	High	6.25e-05	DiD Baseline	1	1	-1	0.878193257359924
Prop_0.50	75	High	6.25e-05	MIMOSA2	1	1	-1	0.905476020892687
Prop_0.50	75	High	0.000125	DiD Baseline	1	1	-1	0.87593700538145
Prop_0.50	75	High	0.000125	MIMOSA2	1	1	-1	0.90320987654321
Prop_0.50	75	High	0.00025	DiD Baseline	1	1	-1	0.879145694840139
Prop_0.50	75	High	0.00025	MIMOSA2	1	1	-1	0.925536957898069
Prop_0.50	75	High	5e-04	DiD Baseline	1	1	-1	0.891770338714783
Prop_0.50	75	High	5e-04	MIMOSA2	1	1	-1	0.935315368787591
Prop_0.50	75	High	0.001	DiD Baseline	1	1	-1	0.904536245647357
Prop_0.50	75	High	0.001	MIMOSA2	1	1	-1	0.948156457739791
Prop_0.50	75	Medium	6.25e-05	DiD Baseline	1	1	-1	0.832288698955366
Prop_0.50	75	Medium	6.25e-05	MIMOSA2	1	1	-1	0.865455444761
Prop_0.50	75	Medium	0.000125	DiD Baseline	1	1	-1	0.840793368154479
Prop_0.50	75	Medium	0.000125	MIMOSA2	1	1	-1	0.873440962329851
Prop_0.50	75	Medium	0.00025	DiD Baseline	1	1	-1	0.870588793922127
Prop_0.50	75	Medium	0.00025	MIMOSA2	1	1	-1	0.901377809433365
Prop_0.50	75	Medium	5e-04	DiD Baseline	1	1	-1	0.876483459955682
Prop_0.50	75	Medium	5e-04	MIMOSA2	1	1	-1	0.92153450459006
Prop_0.50	75	Medium	0.001	DiD Baseline	1	1	-1	0.89377769863881
Prop_0.50	75	Medium	0.001	MIMOSA2	1	1	-1	0.939809670781893
Prop_0.50	75	Low	6.25e-05	DiD Baseline	1	1	-1	0.734789490345046
Prop_0.50	75	Low	6.25e-05	MIMOSA2	1	1	-1	0.765747467553024
Prop_0.50	75	Low	0.000125	DiD Baseline	1	1	-1	0.758431465653688
Prop_0.50	75	Low	0.000125	MIMOSA2	1	1	-1	0.787786878759102
Prop_0.50	75	Low	0.00025	DiD Baseline	1	1	-1	0.776652421652422
Prop_0.50	75	Low	0.00025	MIMOSA2	1	1	-1	0.823581038303261
Prop_0.50	75	Low	5e-04	DiD Baseline	1	1	-1	0.80093898385565
Prop_0.50	75	Low	5e-04	MIMOSA2	1	1	-1	0.858014798987023
Prop_0.50	75	Low	0.001	DiD Baseline	1	1	-1	0.839520813548591
Prop_0.50	75	Low	0.001	MIMOSA2	1	1	-1	0.898200775561887
Prop_0.50	100	High	6.25e-05	DiD Baseline	1	1	-1	0.870272658475784
Prop_0.50	100	High	6.25e-05	MIMOSA2	1	1	-1	0.892826522435897
Prop_0.50	100	High	0.000125	DiD Baseline	1	1	-1	0.890922142094017
Prop_0.50	100	High	0.000125	MIMOSA2	1	1	-1	0.906210603632479
Prop_0.50	100	High	0.00025	DiD Baseline	1	1	-1	0.892109152421652
Prop_0.50	100	High	0.00025	MIMOSA2	1	1	-1	0.933235176282051
Prop_0.50	100	High	5e-04	DiD Baseline	1	1	-1	0.902259837962963
Prop_0.50	100	High	5e-04	MIMOSA2	1	1	-1	0.944309116809117
Prop_0.50	100	High	0.001	DiD Baseline	1	1	-1	0.9162224002849
Prop_0.50	100	High	0.001	MIMOSA2	1	1	-1	0.950429353632476
Prop_0.50	100	Medium	6.25e-05	DiD Baseline	1	1	-1	0.856071492165242
Prop_0.50	100	Medium	6.25e-05	MIMOSA2	1	1	-1	0.883355591168091
Prop_0.50	100	Medium	0.000125	DiD Baseline	1	1	-1	0.839595352564103
Prop_0.50	100	Medium	0.000125	MIMOSA2	1	1	-1	0.88163327991453
Prop_0.50	100	Medium	0.00025	DiD Baseline	1	1	-1	0.862905982905983
Prop_0.50	100	Medium	0.00025	MIMOSA2	1	1	-1	0.902329727564102
Prop_0.50	100	Medium	5e-04	DiD Baseline	1	1	-1	0.887722578347578
Prop_0.50	100	Medium	5e-04	MIMOSA2	1	1	-1	0.923919827279202
Prop_0.50	100	Medium	0.001	DiD Baseline	1	1	-1	0.900655715811966
Prop_0.50	100	Medium	0.001	MIMOSA2	1	1	-1	0.937058404558405
Prop_0.50	100	Low	6.25e-05	DiD Baseline	1	1	-1	0.743616898148148
Prop_0.50	100	Low	6.25e-05	MIMOSA2	1	1	-1	0.774518563034189
Prop_0.50	100	Low	0.000125	DiD Baseline	1	1	-1	0.749526575854701
Prop_0.50	100	Low	0.000125	MIMOSA2	1	1	-1	0.781696714743589
Prop_0.50	100	Low	0.00025	DiD Baseline	1	1	-1	0.772617966524216
Prop_0.50	100	Low	0.00025	MIMOSA2	1	1	-1	0.814986422720797
Prop_0.50	100	Low	5e-04	DiD Baseline	1	1	-1	0.817118945868946
Prop_0.50	100	Low	5e-04	MIMOSA2	1	1	-1	0.873327768874644
Prop_0.50	100	Low	0.001	DiD Baseline	1	1	-1	0.835519720441595
Prop_0.50	100	Low	0.001	MIMOSA2	1	1	-1	0.899774750712251
Prop_0.75	10	High	6.25e-05	DiD Baseline	1	1	-1	0.872060185185185
Prop_0.75	10	High	6.25e-05	MIMOSA2	1	1	-1	0.885902777777779
Prop_0.75	10	High	0.000125	DiD Baseline	1	1	-1	0.915601851851852
Prop_0.75	10	High	0.000125	MIMOSA2	1	1	-1	0.924328703703704
Prop_0.75	10	High	0.00025	DiD Baseline	1	1	-1	0.904722222222222
Prop_0.75	10	High	0.00025	MIMOSA2	1	1	-1	0.935324074074074
Prop_0.75	10	High	5e-04	DiD Baseline	1	1	-1	0.930972222222222
Prop_0.75	10	High	5e-04	MIMOSA2	1	1	-1	0.950185185185186
Prop_0.75	10	High	0.001	DiD Baseline	1	1	-1	0.924861111111111
Prop_0.75	10	High	0.001	MIMOSA2	1	1	-1	0.951064814814815
Prop_0.75	10	Medium	6.25e-05	DiD Baseline	1	1	-1	0.878055555555555
Prop_0.75	10	Medium	6.25e-05	MIMOSA2	1	1	-1	0.879305555555556
Prop_0.75	10	Medium	0.000125	DiD Baseline	1	1	-1	0.888564814814815
Prop_0.75	10	Medium	0.000125	MIMOSA2	1	1	-1	0.891087962962963
Prop_0.75	10	Medium	0.00025	DiD Baseline	1	1	-1	0.885069444444444
Prop_0.75	10	Medium	0.00025	MIMOSA2	1	1	-1	0.907731481481482
Prop_0.75	10	Medium	5e-04	DiD Baseline	1	1	-1	0.919351851851852
Prop_0.75	10	Medium	5e-04	MIMOSA2	1	1	-1	0.94025462962963
Prop_0.75	10	Medium	0.001	DiD Baseline	1	1	-1	0.913888888888889
Prop_0.75	10	Medium	0.001	MIMOSA2	1	1	-1	0.942777777777778
Prop_0.75	10	Low	6.25e-05	DiD Baseline	1	1	-1	0.775023148148148
Prop_0.75	10	Low	6.25e-05	MIMOSA2	1	1	-1	0.811365740740741
Prop_0.75	10	Low	0.000125	DiD Baseline	1	1	-1	0.750416666666667
Prop_0.75	10	Low	0.000125	MIMOSA2	1	1	-1	0.744212962962963
Prop_0.75	10	Low	0.00025	DiD Baseline	1	1	-1	0.847662037037037
Prop_0.75	10	Low	0.00025	MIMOSA2	1	1	-1	0.851481481481482
Prop_0.75	10	Low	5e-04	DiD Baseline	1	1	-1	0.794560185185185
Prop_0.75	10	Low	5e-04	MIMOSA2	1	1	-1	0.848888888888889
Prop_0.75	10	Low	0.001	DiD Baseline	1	1	-1	0.884953703703704
Prop_0.75	10	Low	0.001	MIMOSA2	1	1	-1	0.92875
Prop_0.75	20	High	6.25e-05	DiD Baseline	1	1	-1	0.85869212962963
Prop_0.75	20	High	6.25e-05	MIMOSA2	1	1	-1	0.895856481481482
Prop_0.75	20	High	0.000125	DiD Baseline	1	1	-1	0.858703703703704
Prop_0.75	20	High	0.000125	MIMOSA2	1	1	-1	0.906232638888889
Prop_0.75	20	High	0.00025	DiD Baseline	1	1	-1	0.890954861111111
Prop_0.75	20	High	0.00025	MIMOSA2	1	1	-1	0.936076388888889
Prop_0.75	20	High	5e-04	DiD Baseline	1	1	-1	0.881915509259259
Prop_0.75	20	High	5e-04	MIMOSA2	1	1	-1	0.920949074074074
Prop_0.75	20	High	0.001	DiD Baseline	1	1	-1	0.93759837962963
Prop_0.75	20	High	0.001	MIMOSA2	1	1	-1	0.971874999999999
Prop_0.75	20	Medium	6.25e-05	DiD Baseline	1	1	-1	0.845850694444444
Prop_0.75	20	Medium	6.25e-05	MIMOSA2	1	1	-1	0.868715277777777
Prop_0.75	20	Medium	0.000125	DiD Baseline	1	1	-1	0.849461805555556
Prop_0.75	20	Medium	0.000125	MIMOSA2	1	1	-1	0.873125
Prop_0.75	20	Medium	0.00025	DiD Baseline	1	1	-1	0.873744212962963
Prop_0.75	20	Medium	0.00025	MIMOSA2	1	1	-1	0.921128472222222
Prop_0.75	20	Medium	5e-04	DiD Baseline	1	1	-1	0.902517361111111
Prop_0.75	20	Medium	5e-04	MIMOSA2	1	1	-1	0.945659722222223
Prop_0.75	20	Medium	0.001	DiD Baseline	1	1	-1	0.893229166666667
Prop_0.75	20	Medium	0.001	MIMOSA2	1	1	-1	0.937737268518518
Prop_0.75	20	Low	6.25e-05	DiD Baseline	1	1	-1	0.75771412037037
Prop_0.75	20	Low	6.25e-05	MIMOSA2	1	1	-1	0.783778935185185
Prop_0.75	20	Low	0.000125	DiD Baseline	1	1	-1	0.73462962962963
Prop_0.75	20	Low	0.000125	MIMOSA2	1	1	-1	0.775248842592593
Prop_0.75	20	Low	0.00025	DiD Baseline	1	1	-1	0.802662037037037
Prop_0.75	20	Low	0.00025	MIMOSA2	1	1	-1	0.837031250000001
Prop_0.75	20	Low	5e-04	DiD Baseline	1	1	-1	0.785740740740741
Prop_0.75	20	Low	5e-04	MIMOSA2	1	1	-1	0.838859953703704
Prop_0.75	20	Low	0.001	DiD Baseline	1	1	-1	0.845416666666667
Prop_0.75	20	Low	0.001	MIMOSA2	1	1	-1	0.886203703703704
Prop_0.75	30	High	6.25e-05	DiD Baseline	1	1	-1	0.864252777777778
Prop_0.75	30	High	6.25e-05	MIMOSA2	1	1	-1	0.905844444444445
Prop_0.75	30	High	0.000125	DiD Baseline	1	1	-1	0.876341666666667
Prop_0.75	30	High	0.000125	MIMOSA2	1	1	-1	0.920291666666667
Prop_0.75	30	High	0.00025	DiD Baseline	1	1	-1	0.893769444444444
Prop_0.75	30	High	0.00025	MIMOSA2	1	1	-1	0.938361111111111
Prop_0.75	30	High	5e-04	DiD Baseline	1	1	-1	0.904408333333333
Prop_0.75	30	High	5e-04	MIMOSA2	1	1	-1	0.944672222222223
Prop_0.75	30	High	0.001	DiD Baseline	1	1	-1	0.915388888888889
Prop_0.75	30	High	0.001	MIMOSA2	1	1	-1	0.954577777777777
Prop_0.75	30	Medium	6.25e-05	DiD Baseline	1	1	-1	0.84075
Prop_0.75	30	Medium	6.25e-05	MIMOSA2	1	1	-1	0.867430555555555
Prop_0.75	30	Medium	0.000125	DiD Baseline	1	1	-1	0.861994444444444
Prop_0.75	30	Medium	0.000125	MIMOSA2	1	1	-1	0.884880555555556
Prop_0.75	30	Medium	0.00025	DiD Baseline	1	1	-1	0.859027777777778
Prop_0.75	30	Medium	0.00025	MIMOSA2	1	1	-1	0.899227777777778
Prop_0.75	30	Medium	5e-04	DiD Baseline	1	1	-1	0.890047222222222
Prop_0.75	30	Medium	5e-04	MIMOSA2	1	1	-1	0.939102777777778
Prop_0.75	30	Medium	0.001	DiD Baseline	1	1	-1	0.890886111111111
Prop_0.75	30	Medium	0.001	MIMOSA2	1	1	-1	0.937738888888889
Prop_0.75	30	Low	6.25e-05	DiD Baseline	1	1	-1	0.738647222222222
Prop_0.75	30	Low	6.25e-05	MIMOSA2	1	1	-1	0.767816666666666
Prop_0.75	30	Low	0.000125	DiD Baseline	1	1	-1	0.750402777777778
Prop_0.75	30	Low	0.000125	MIMOSA2	1	1	-1	0.784636111111111
Prop_0.75	30	Low	0.00025	DiD Baseline	1	1	-1	0.77085
Prop_0.75	30	Low	0.00025	MIMOSA2	1	1	-1	0.814061111111111
Prop_0.75	30	Low	5e-04	DiD Baseline	1	1	-1	0.808430555555556
Prop_0.75	30	Low	5e-04	MIMOSA2	1	1	-1	0.870894444444445
Prop_0.75	30	Low	0.001	DiD Baseline	1	1	-1	0.829061111111111
Prop_0.75	30	Low	0.001	MIMOSA2	1	1	-1	0.894138888888889
Prop_0.75	50	High	6.25e-05	DiD Baseline	1	1	-1	0.866237874779542
Prop_0.75	50	High	6.25e-05	MIMOSA2	1	1	-1	0.890913800705467
Prop_0.75	50	High	0.000125	DiD Baseline	1	1	-1	0.884242724867725
Prop_0.75	50	High	0.000125	MIMOSA2	1	1	-1	0.921431878306879
Prop_0.75	50	High	0.00025	DiD Baseline	1	1	-1	0.888707010582011
Prop_0.75	50	High	0.00025	MIMOSA2	1	1	-1	0.936968694885362
Prop_0.75	50	High	5e-04	DiD Baseline	1	1	-1	0.905383597883598
Prop_0.75	50	High	5e-04	MIMOSA2	1	1	-1	0.950019841269841
Prop_0.75	50	High	0.001	DiD Baseline	1	1	-1	0.916554232804233
Prop_0.75	50	High	0.001	MIMOSA2	1	1	-1	0.955504850088183
Prop_0.75	50	Medium	6.25e-05	DiD Baseline	1	1	-1	0.835164241622575
Prop_0.75	50	Medium	6.25e-05	MIMOSA2	1	1	-1	0.869366181657848
Prop_0.75	50	Medium	0.000125	DiD Baseline	1	1	-1	0.863570326278659
Prop_0.75	50	Medium	0.000125	MIMOSA2	1	1	-1	0.886445105820106
Prop_0.75	50	Medium	0.00025	DiD Baseline	1	1	-1	0.849345238095238
Prop_0.75	50	Medium	0.00025	MIMOSA2	1	1	-1	0.888835978835979
Prop_0.75	50	Medium	5e-04	DiD Baseline	1	1	-1	0.871707451499118
Prop_0.75	50	Medium	5e-04	MIMOSA2	1	1	-1	0.919448853615521
Prop_0.75	50	Medium	0.001	DiD Baseline	1	1	-1	0.888119488536155
Prop_0.75	50	Medium	0.001	MIMOSA2	1	1	-1	0.945934744268077
Prop_0.75	50	Low	6.25e-05	DiD Baseline	1	1	-1	0.734485229276896
Prop_0.75	50	Low	6.25e-05	MIMOSA2	1	1	-1	0.765026455026455
Prop_0.75	50	Low	0.000125	DiD Baseline	1	1	-1	0.771071428571429
Prop_0.75	50	Low	0.000125	MIMOSA2	1	1	-1	0.791871693121694
Prop_0.75	50	Low	0.00025	DiD Baseline	1	1	-1	0.786150793650794
Prop_0.75	50	Low	0.00025	MIMOSA2	1	1	-1	0.822125220458553
Prop_0.75	50	Low	5e-04	DiD Baseline	1	1	-1	0.820927028218695
Prop_0.75	50	Low	5e-04	MIMOSA2	1	1	-1	0.874727733686067
Prop_0.75	50	Low	0.001	DiD Baseline	1	1	-1	0.847561728395062
Prop_0.75	50	Low	0.001	MIMOSA2	1	1	-1	0.912089947089948
Prop_0.75	75	High	6.25e-05	DiD Baseline	1	1	-1	0.879879908103592
Prop_0.75	75	High	6.25e-05	MIMOSA2	1	1	-1	0.905529970760234
Prop_0.75	75	High	0.000125	DiD Baseline	1	1	-1	0.882447786131997
Prop_0.75	75	High	0.000125	MIMOSA2	1	1	-1	0.921357038429407
Prop_0.75	75	High	0.00025	DiD Baseline	1	1	-1	0.899934210526316
Prop_0.75	75	High	0.00025	MIMOSA2	1	1	-1	0.930682957393484
Prop_0.75	75	High	5e-04	DiD Baseline	1	1	-1	0.895022451963241
Prop_0.75	75	High	5e-04	MIMOSA2	1	1	-1	0.942167919799499
Prop_0.75	75	High	0.001	DiD Baseline	1	1	-1	0.903338554720133
Prop_0.75	75	High	0.001	MIMOSA2	1	1	-1	0.948804302422722
Prop_0.75	75	Medium	6.25e-05	DiD Baseline	1	1	-1	0.846681808688388
Prop_0.75	75	Medium	6.25e-05	MIMOSA2	1	1	-1	0.875107038429407
Prop_0.75	75	Medium	0.000125	DiD Baseline	1	1	-1	0.847838345864662
