Distribution_clean	Effect_clean	High	Medium	Low	Very Low
Beta	1.0e-03	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Beta	1.2e-04	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Beta	2.5e-04	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Beta	6.2e-05	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Simplex	1.0e-03	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Simplex	1.2e-04	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Simplex	2.5e-04	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Simplex	6.2e-05	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Bimodal Beta	1.0e-03	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Bimodal Beta	1.2e-04	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Bimodal Beta	2.5e-04	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Bimodal Beta	6.2e-05	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Exponential Gamma	1.0e-03	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Exponential Gamma	1.2e-04	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Exponential Gamma	2.5e-04	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Exponential Gamma	6.2e-05	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Logit Normal	1.0e-03	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Logit Normal	1.2e-04	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Logit Normal	2.5e-04	1150, 1150	1150, 1150	1150, 1150	1150, 1150
Logit Normal	6.2e-05	1150, 1150	1150, 1150	1150, 1150	1150, 1150
