Distribution	P	Cell_range	Effect	Method	PANEL	COORD	group	AUROC
EG	50	Medium	0.000125	DiD Baseline	1	1	-1	0.86431891025641
EG	50	Medium	0.000125	MIMOSA2	1	1	-1	0.882427884615385
EG	50	Medium	0.00025	DiD Baseline	1	1	-1	0.884847756410257
EG	50	Medium	0.00025	MIMOSA2	1	1	-1	0.909759615384616
EG	50	Medium	0.001	DiD Baseline	1	1	-1	0.905120192307692
EG	50	Medium	0.001	MIMOSA2	1	1	-1	0.938453525641026
EG	50	Low	6.25e-05	DiD Baseline	1	1	-1	0.699014423076923
EG	50	Low	6.25e-05	MIMOSA2	1	1	-1	0.74693108974359
EG	50	Low	0.000125	DiD Baseline	1	1	-1	0.677796474358974
EG	50	Low	0.000125	MIMOSA2	1	1	-1	0.716209935897436
EG	50	Low	0.00025	DiD Baseline	1	1	-1	0.756690705128205
EG	50	Low	0.00025	MIMOSA2	1	1	-1	0.815456730769232
EG	50	Low	0.001	DiD Baseline	1	1	-1	0.825504807692308
EG	50	Low	0.001	MIMOSA2	1	1	-1	0.914503205128204
EG	50	Very Low	6.25e-05	DiD Baseline	1	1	-1	0.606834935897436
EG	50	Very Low	6.25e-05	MIMOSA2	1	1	-1	0.664703525641025
EG	50	Very Low	0.000125	DiD Baseline	1	1	-1	0.620152243589744
EG	50	Very Low	0.000125	MIMOSA2	1	1	-1	0.675192307692307
EG	50	Very Low	0.00025	DiD Baseline	1	1	-1	0.624206730769231
EG	50	Very Low	0.00025	MIMOSA2	1	1	-1	0.673870192307692
EG	50	Very Low	0.001	DiD Baseline	1	1	-1	0.831875
EG	50	Very Low	0.001	MIMOSA2	1	1	-1	0.902700320512821
LN	50	High	6.25e-05	DiD Baseline	1	1	-1	0.902588141025641
LN	50	High	6.25e-05	MIMOSA2	1	1	-1	0.907972756410256
LN	50	High	0.000125	DiD Baseline	1	1	-1	0.889551282051282
LN	50	High	0.000125	MIMOSA2	1	1	-1	0.907956730769231
LN	50	High	0.00025	DiD Baseline	1	1	-1	0.883413461538461
LN	50	High	0.00025	MIMOSA2	1	1	-1	0.918301282051282
LN	50	High	0.001	DiD Baseline	1	1	-1	0.936738782051282
LN	50	High	0.001	MIMOSA2	1	1	-1	0.966690705128205
LN	50	Medium	6.25e-05	DiD Baseline	1	1	-1	0.812147435897436
LN	50	Medium	6.25e-05	MIMOSA2	1	1	-1	0.839551282051282
LN	50	Medium	0.000125	DiD Baseline	1	1	-1	0.825713141025641
LN	50	Medium	0.000125	MIMOSA2	1	1	-1	0.843766025641026
LN	50	Medium	0.00025	DiD Baseline	1	1	-1	0.876097756410256
LN	50	Medium	0.00025	MIMOSA2	1	1	-1	0.898886217948718
LN	50	Medium	0.001	DiD Baseline	1	1	-1	0.921233974358974
LN	50	Medium	0.001	MIMOSA2	1	1	-1	0.954695512820513
LN	50	Low	6.25e-05	DiD Baseline	1	1	-1	0.685120192307692
LN	50	Low	6.25e-05	MIMOSA2	1	1	-1	0.726810897435898
LN	50	Low	0.000125	DiD Baseline	1	1	-1	0.685713141025641
LN	50	Low	0.000125	MIMOSA2	1	1	-1	0.755280448717949
LN	50	Low	0.00025	DiD Baseline	1	1	-1	0.73380608974359
LN	50	Low	0.00025	MIMOSA2	1	1	-1	0.779302884615384
LN	50	Low	0.001	DiD Baseline	1	1	-1	0.815721153846154
LN	50	Low	0.001	MIMOSA2	1	1	-1	0.880769230769231
LN	50	Very Low	6.25e-05	DiD Baseline	1	1	-1	0.626530448717949
LN	50	Very Low	6.25e-05	MIMOSA2	1	1	-1	0.705456730769231
LN	50	Very Low	0.000125	DiD Baseline	1	1	-1	0.659222756410256
LN	50	Very Low	0.000125	MIMOSA2	1	1	-1	0.759639423076923
LN	50	Very Low	0.00025	DiD Baseline	1	1	-1	0.646209935897436
LN	50	Very Low	0.00025	MIMOSA2	1	1	-1	0.756065705128205
LN	50	Very Low	0.001	DiD Baseline	1	1	-1	0.817684294871795
LN	50	Very Low	0.001	MIMOSA2	1	1	-1	0.907700320512821
SX	50	High	6.25e-05	DiD Baseline	1	1	-1	0.835841346153846
SX	50	High	6.25e-05	MIMOSA2	1	1	-1	0.85525641025641
SX	50	High	0.000125	DiD Baseline	1	1	-1	0.875921474358974
SX	50	High	0.000125	MIMOSA2	1	1	-1	0.896426282051282
SX	50	High	0.00025	DiD Baseline	1	1	-1	0.900865384615384
SX	50	High	0.00025	MIMOSA2	1	1	-1	0.939086538461539
SX	50	High	0.001	DiD Baseline	1	1	-1	0.937692307692308
SX	50	High	0.001	MIMOSA2	1	1	-1	0.967211538461538
SX	50	Medium	6.25e-05	DiD Baseline	1	1	-1	0.818149038461539
SX	50	Medium	6.25e-05	MIMOSA2	1	1	-1	0.82838141025641
SX	50	Medium	0.000125	DiD Baseline	1	1	-1	0.804991987179487
SX	50	Medium	0.000125	MIMOSA2	1	1	-1	0.843092948717949
SX	50	Medium	0.00025	DiD Baseline	1	1	-1	0.865168269230769
SX	50	Medium	0.00025	MIMOSA2	1	1	-1	0.897524038461538
SX	50	Medium	0.001	DiD Baseline	1	1	-1	0.923229166666667
SX	50	Medium	0.001	MIMOSA2	1	1	-1	0.968293269230769
SX	50	Low	6.25e-05	DiD Baseline	1	1	-1	0.627315705128205
SX	50	Low	6.25e-05	MIMOSA2	1	1	-1	0.652908653846154
SX	50	Low	0.000125	DiD Baseline	1	1	-1	0.661057692307692
SX	50	Low	0.000125	MIMOSA2	1	1	-1	0.677964743589744
SX	50	Low	0.00025	DiD Baseline	1	1	-1	0.73511217948718
SX	50	Low	0.00025	MIMOSA2	1	1	-1	0.78145032051282
SX	50	Low	0.001	DiD Baseline	1	1	-1	0.860496794871795
SX	50	Low	0.001	MIMOSA2	1	1	-1	0.940745192307691
SX	50	Very Low	6.25e-05	DiD Baseline	1	1	-1	0.586386217948718
SX	50	Very Low	6.25e-05	MIMOSA2	1	1	-1	0.626121794871795
SX	50	Very Low	0.000125	DiD Baseline	1	1	-1	0.630168269230769
SX	50	Very Low	0.000125	MIMOSA2	1	1	-1	0.674863782051282
SX	50	Very Low	0.00025	DiD Baseline	1	1	-1	0.622796474358974
SX	50	Very Low	0.00025	MIMOSA2	1	1	-1	0.70744391025641
SX	50	Very Low	0.001	DiD Baseline	1	1	-1	0.804519230769231
SX	50	Very Low	0.001	MIMOSA2	1	1	-1	0.912123397435897
