Simulation 81 | MIMOSA2 elapsed = 8.34 sec | status = SUCCESS
Simulation 82 | MIMOSA2 elapsed = 8.48 sec | status = SUCCESS
Simulation 99 | MIMOSA2 elapsed = 8.74 sec | status = SUCCESS
Simulation 83 | MIMOSA2 elapsed = 9.45 sec | status = SUCCESS
Simulation 86 | MIMOSA2 elapsed = 10.17 sec | status = SUCCESS
Simulation 97 | MIMOSA2 elapsed = 10.69 sec | status = SUCCESS
Simulation 95 | MIMOSA2 elapsed = 10.71 sec | status = SUCCESS
Simulation 92 | MIMOSA2 elapsed = 10.78 sec | status = SUCCESS
Simulation 87 | MIMOSA2 elapsed = 11.55 sec | status = SUCCESS
Simulation 90 | MIMOSA2 elapsed = 11.51 sec | status = SUCCESS
Simulation 96 | MIMOSA2 elapsed = 15.2 sec | status = SUCCESS
Simulation 93 | MIMOSA2 elapsed = 15.8 sec | status = SUCCESS
Simulation 94 | MIMOSA2 elapsed = 16.02 sec | status = SUCCESS
Simulation 91 | MIMOSA2 elapsed = 16.21 sec | status = SUCCESS
Simulation 85 | MIMOSA2 elapsed = 16.45 sec | status = SUCCESS
Simulation 103 | MIMOSA2 elapsed = 8.41 sec | status = SUCCESS
Simulation 100 | MIMOSA2 elapsed = 17.44 sec | status = SUCCESS
Simulation 104 | MIMOSA2 elapsed = 9.95 sec | status = SUCCESS
Simulation 109 | MIMOSA2 elapsed = 11.9 sec | status = SUCCESS
Simulation 113 | MIMOSA2 elapsed = 10.78 sec | status = SUCCESS
Simulation 110 | MIMOSA2 elapsed = 12.47 sec | status = SUCCESS
Simulation 101 | MIMOSA2 elapsed = 16.37 sec | status = SUCCESS
Simulation 108 | MIMOSA2 elapsed = 14.46 sec | status = SUCCESS
Simulation 106 | MIMOSA2 elapsed = 15.48 sec | status = SUCCESS
Simulation 102 | MIMOSA2 elapsed = 17.29 sec | status = SUCCESS
Simulation 105 | MIMOSA2 elapsed = 16.76 sec | status = SUCCESS
Simulation 107 | MIMOSA2 elapsed = 16.2 sec | status = SUCCESS
Simulation 111 | MIMOSA2 elapsed = 16.64 sec | status = SUCCESS
Simulation 114 | MIMOSA2 elapsed = 16.14 sec | status = SUCCESS
Simulation 112 | MIMOSA2 elapsed = 17.68 sec | status = SUCCESS
Simulation 118 | MIMOSA2 elapsed = 14.16 sec | status = SUCCESS
Simulation 120 | MIMOSA2 elapsed = 13.74 sec | status = SUCCESS
Simulation 115 | MIMOSA2 elapsed = 16.32 sec | status = SUCCESS
Simulation 116 | MIMOSA2 elapsed = 16.83 sec | status = SUCCESS
Simulation 117 | MIMOSA2 elapsed = 16.83 sec | status = SUCCESS
Simulation 119 | MIMOSA2 elapsed = 16.68 sec | status = SUCCESS
Simulation 122 | MIMOSA2 elapsed = 15.57 sec | status = SUCCESS
Simulation 121 | MIMOSA2 elapsed = 16.78 sec | status = SUCCESS
Simulation 124 | MIMOSA2 elapsed = 11.65 sec | status = SUCCESS
Simulation 126 | MIMOSA2 elapsed = 11.13 sec | status = SUCCESS
Simulation 123 | MIMOSA2 elapsed = 17.8 sec | status = SUCCESS
Simulation 129 | MIMOSA2 elapsed = 15.52 sec | status = SUCCESS
Simulation 127 | MIMOSA2 elapsed = 16.89 sec | status = SUCCESS
Simulation 128 | MIMOSA2 elapsed = 16.87 sec | status = SUCCESS
Simulation 125 | MIMOSA2 elapsed = 18.07 sec | status = SUCCESS
Simulation 130 | MIMOSA2 elapsed = 16.61 sec | status = SUCCESS
Simulation 131 | MIMOSA2 elapsed = 17.46 sec | status = SUCCESS
Simulation 133 | MIMOSA2 elapsed = 16.29 sec | status = SUCCESS
Simulation 132 | MIMOSA2 elapsed = 17.68 sec | status = SUCCESS
Simulation 134 | MIMOSA2 elapsed = 16.84 sec | status = SUCCESS
Simulation 139 | MIMOSA2 elapsed = 14.03 sec | status = SUCCESS
Simulation 136 | MIMOSA2 elapsed = 18.05 sec | status = SUCCESS
Simulation 143 | MIMOSA2 elapsed = 14.83 sec | status = SUCCESS
Simulation 137 | MIMOSA2 elapsed = 17.77 sec | status = SUCCESS
Simulation 142 | MIMOSA2 elapsed = 15.98 sec | status = SUCCESS
Simulation 135 | MIMOSA2 elapsed = 19.74 sec | status = SUCCESS
Simulation 141 | MIMOSA2 elapsed = 16.32 sec | status = SUCCESS
Simulation 138 | MIMOSA2 elapsed = 20.26 sec | status = SUCCESS
Simulation 145 | MIMOSA2 elapsed = 16.24 sec | status = SUCCESS
Simulation 144 | MIMOSA2 elapsed = 21.7 sec | status = SUCCESS
Simulation 149 | MIMOSA2 elapsed = 17.04 sec | status = SUCCESS
Simulation 147 | MIMOSA2 elapsed = 17.72 sec | status = SUCCESS
Simulation 148 | MIMOSA2 elapsed = 17.6 sec | status = SUCCESS
Simulation 146 | MIMOSA2 elapsed = 19.33 sec | status = SUCCESS
Simulation 150 | MIMOSA2 elapsed = 18.22 sec | status = SUCCESS
Simulation 151 | MIMOSA2 elapsed = 17.74 sec | status = SUCCESS
Simulation 152 | MIMOSA2 elapsed = 15.77 sec | status = SUCCESS
Simulation 154 | MIMOSA2 elapsed = 17.33 sec | status = SUCCESS
Simulation 156 | MIMOSA2 elapsed = 15.25 sec | status = SUCCESS
Simulation 153 | MIMOSA2 elapsed = 19.8 sec | status = SUCCESS
Simulation 155 | MIMOSA2 elapsed = 17.92 sec | status = SUCCESS
Simulation 157 | MIMOSA2 elapsed = 16.18 sec | status = SUCCESS
Simulation 159 | MIMOSA2 elapsed = 16.76 sec | status = SUCCESS
Simulation 160 | MIMOSA2 elapsed = 16.77 sec | status = SUCCESS
Simulation 158 | MIMOSA2 elapsed = 17.11 sec | status = SUCCESS
Simulation 140 | MIMOSA2 elapsed = 13.46 sec | status = SUCCESS
Simulation 163 | MIMOSA2 elapsed = 6.38 sec | status = SUCCESS
Simulation 161 | MIMOSA2 elapsed = 6.99 sec | status = SUCCESS
Simulation 164 | MIMOSA2 elapsed = 7.08 sec | status = SUCCESS
Simulation 166 | MIMOSA2 elapsed = 8.31 sec | status = SUCCESS
Simulation 165 | MIMOSA2 elapsed = 8.43 sec | status = SUCCESS
Simulation 170 | MIMOSA2 elapsed = 10.22 sec | status = SUCCESS
Simulation 169 | MIMOSA2 elapsed = 10.35 sec | status = SUCCESS
Simulation 174 | MIMOSA2 elapsed = 10.84 sec | status = SUCCESS
Simulation 178 | MIMOSA2 elapsed = 15.16 sec | status = SUCCESS
Simulation 172 | MIMOSA2 elapsed = 15.55 sec | status = SUCCESS
Simulation 176 | MIMOSA2 elapsed = 15.58 sec | status = SUCCESS
Simulation 177 | MIMOSA2 elapsed = 15.84 sec | status = SUCCESS
Simulation 173 | MIMOSA2 elapsed = 15.86 sec | status = SUCCESS
Simulation 168 | MIMOSA2 elapsed = 16.08 sec | status = SUCCESS
Simulation 175 | MIMOSA2 elapsed = 16.23 sec | status = SUCCESS
Simulation 171 | MIMOSA2 elapsed = 16.44 sec | status = SUCCESS
Simulation 167 | MIMOSA2 elapsed = 16.74 sec | status = SUCCESS
Simulation 162 | MIMOSA2 elapsed = 16.72 sec | status = SUCCESS
Simulation 179 | MIMOSA2 elapsed = 16.7 sec | status = SUCCESS
Simulation 180 | MIMOSA2 elapsed = 17.14 sec | status = SUCCESS
Simulation 185 | MIMOSA2 elapsed = 8.57 sec | status = SUCCESS
Simulation 184 | MIMOSA2 elapsed = 9.36 sec | status = SUCCESS
Simulation 182 | MIMOSA2 elapsed = 11.14 sec | status = SUCCESS
Simulation 187 | MIMOSA2 elapsed = 10.31 sec | status = SUCCESS
Simulation 188 | MIMOSA2 elapsed = 11.7 sec | status = SUCCESS
Simulation 181 | MIMOSA2 elapsed = 16.88 sec | status = SUCCESS
Simulation 183 | MIMOSA2 elapsed = 16.87 sec | status = SUCCESS
Simulation 191 | MIMOSA2 elapsed = 10.2 sec | status = SUCCESS
Simulation 190 | MIMOSA2 elapsed = 12.95 sec | status = SUCCESS
Simulation 186 | MIMOSA2 elapsed = 18.79 sec | status = SUCCESS
Simulation 189 | MIMOSA2 elapsed = 15.95 sec | status = SUCCESS
Simulation 201 | MIMOSA2 elapsed = 13.63 sec | status = SUCCESS
Simulation 192 | MIMOSA2 elapsed = 16.26 sec | status = SUCCESS
Simulation 193 | MIMOSA2 elapsed = 16.43 sec | status = SUCCESS
Simulation 195 | MIMOSA2 elapsed = 16.22 sec | status = SUCCESS
Simulation 199 | MIMOSA2 elapsed = 15.81 sec | status = SUCCESS
Simulation 194 | MIMOSA2 elapsed = 16.53 sec | status = SUCCESS
Simulation 196 | MIMOSA2 elapsed = 16.44 sec | status = SUCCESS
Simulation 198 | MIMOSA2 elapsed = 16.17 sec | status = SUCCESS
Simulation 200 | MIMOSA2 elapsed = 16.48 sec | status = SUCCESS
Simulation 202 | MIMOSA2 elapsed = 16.1 sec | status = SUCCESS
Simulation 197 | MIMOSA2 elapsed = 17.52 sec | status = SUCCESS
Simulation 203 | MIMOSA2 elapsed = 15.79 sec | status = SUCCESS
Simulation 205 | MIMOSA2 elapsed = 12.17 sec | status = SUCCESS
Simulation 204 | MIMOSA2 elapsed = 17.24 sec | status = SUCCESS
Simulation 206 | MIMOSA2 elapsed = 17.88 sec | status = SUCCESS
Simulation 207 | MIMOSA2 elapsed = 17.77 sec | status = SUCCESS
Simulation 208 | MIMOSA2 elapsed = 17.05 sec | status = SUCCESS
Simulation 209 | MIMOSA2 elapsed = 15.53 sec | status = SUCCESS
Simulation 210 | MIMOSA2 elapsed = 17.19 sec | status = SUCCESS
Simulation 222 | MIMOSA2 elapsed = 11.96 sec | status = SUCCESS
Simulation 212 | MIMOSA2 elapsed = 15.47 sec | status = SUCCESS
Simulation 223 | MIMOSA2 elapsed = 13.61 sec | status = SUCCESS
Simulation 211 | MIMOSA2 elapsed = 17.39 sec | status = SUCCESS
Simulation 214 | MIMOSA2 elapsed = 16.65 sec | status = SUCCESS
Simulation 213 | MIMOSA2 elapsed = 17.11 sec | status = SUCCESS
Simulation 218 | MIMOSA2 elapsed = 16.4 sec | status = SUCCESS
Simulation 225 | MIMOSA2 elapsed = 11.34 sec | status = SUCCESS
Simulation 216 | MIMOSA2 elapsed = 17.31 sec | status = SUCCESS
Simulation 219 | MIMOSA2 elapsed = 17.15 sec | status = SUCCESS
Simulation 215 | MIMOSA2 elapsed = 17.9 sec | status = SUCCESS
Simulation 217 | MIMOSA2 elapsed = 17.87 sec | status = SUCCESS
Simulation 221 | MIMOSA2 elapsed = 16.79 sec | status = SUCCESS
Simulation 220 | MIMOSA2 elapsed = 17.33 sec | status = SUCCESS
Simulation 224 | MIMOSA2 elapsed = 15.78 sec | status = SUCCESS
Simulation 227 | MIMOSA2 elapsed = 14.27 sec | status = SUCCESS
Simulation 226 | MIMOSA2 elapsed = 15.92 sec | status = SUCCESS
Simulation 228 | MIMOSA2 elapsed = 15.93 sec | status = SUCCESS
Simulation 229 | MIMOSA2 elapsed = 17.53 sec | status = SUCCESS
Simulation 232 | MIMOSA2 elapsed = 15.61 sec | status = SUCCESS
Simulation 230 | MIMOSA2 elapsed = 16.64 sec | status = SUCCESS
Simulation 231 | MIMOSA2 elapsed = 17.03 sec | status = SUCCESS
Simulation 234 | MIMOSA2 elapsed = 15.6 sec | status = SUCCESS
Simulation 233 | MIMOSA2 elapsed = 16.96 sec | status = SUCCESS
Simulation 238 | MIMOSA2 elapsed = 15.68 sec | status = SUCCESS
Simulation 236 | MIMOSA2 elapsed = 16.36 sec | status = SUCCESS
Simulation 237 | MIMOSA2 elapsed = 16.63 sec | status = SUCCESS
Simulation 235 | MIMOSA2 elapsed = 17.22 sec | status = SUCCESS
Simulation 240 | MIMOSA2 elapsed = 16.33 sec | status = SUCCESS
